Lts,wse,Environment,Patch 
8.697662717,0.353001778,Rich Self,Low Yield
13.33953336,0.312828225,Rich Self,High Yield
10.79744585,0.292627431,Poor Self,Low Yield
15.42573866,0.340265529,Poor Self,High Yield
8.978277311,0.353382305,Rich Other,Low Yield
12.38720748,0.292791313,Rich Other,High Yield
10.98413362,0.285433123,Poor Other,Low Yield
14.50181803,0.437930278,Poor Other,High Yield
