RR,wse,Environment,Patch 
14.76276438,0.500589537,Rich Self,Low Yield
15.22345841,0.467936806,Rich Self,High Yield
12.23859995,0.393226666,Poor Self,Low Yield
12.7170014,0.45647225,Poor Self,High Yield
14.78474056,0.492373281,Rich Other,Low Yield
17.57344274,0.591963983,Rich Other,High Yield
12.45812332,0.354656523,Poor Other,Low Yield
14.91335968,0.721567433,Poor Other,High Yield
