sub,Rich_Self,Rich_Other,Poor_Self,Poor_Other
1,21.46902689,18.01139837,17.6653748,16.3565092
2,22.23306588,23.03230637,19.22613681,18.54290245
3,20.29828111,21.80214184,15.55910081,17.16760707
4,22.49660955,22.52964617,18.49219811,18.26162917
5,23.28856098,22.36383718,18.94549685,18.78126525
6,18.73907961,19.64166694,14.86185013,15.09869096
7,23.36923171,22.59408786,18.55209626,16.64507408
8,18.67760542,19.66545427,17.00041271,16.4738106
9,21.41264921,19.09521298,18.06477589,15.8740152
10,19.57224261,21.92330899,17.02451949,17.92692952
11,22.52481428,22.04634041,19.06520133,18.97675228
12,22.6203314,22.64240733,19.40812196,18.34188837
13,20.4038603,19.84193052,17.44649209,17.07767
14,22.34652039,20.65043851,18.11655616,16.40520672
15,15.84307565,14.68566221,15.5144637,14.30325889
16,22.69431197,20.78273953,19.17446403,17.93990891
17,22.10387853,20.0728028,18.54179554,16.57096745
18,21.61476319,21.64382365,17.73646741,17.39186091
19,20.52801648,19.76176581,15.06035367,14.53026428
20,22.02679841,22.37064758,18.12130954,18.14936849
21,20.07692018,21.57352738,18.31906022,17.38229072
22,19.71253418,20.50541981,16.56895428,17.93566245
23,19.07853665,16.22277124,14.69727596,14.65406738
24,20.14694434,21.92086922,16.1560584,17.4612291
25,16.75958751,17.40419365,15.70419526,13.27778803
26,19.75755677,18.96457904,17.91740844,16.53675173
27,20.72416124,20.30424997,17.76337584,14.58180974
28,22.3896517,21.96376779,17.76270199,17.42584717
29,22.5432512,21.88197763,16.23705772,16.86843863
