sub,patch,env,ben,lt,rr
1,2,1,2,19.4589213,6.761897898
1,1,1,2,8.368376,13.74174066
1,1,1,2,8.2648161,13.89917593
1,1,1,2,6.5898377,16.71116697
1,2,1,2,13.7742438,12.6368624
1,2,1,2,10.4555576,18.2045873
1,1,1,2,8.1759216,14.03575424
1,2,1,2,9.2255509,20.84208685
1,2,1,2,10.4933063,18.12915208
1,1,1,2,8.5205715,13.51359829
1,1,1,2,8.4321157,13.64572925
1,1,1,2,10.7193898,10.61031293
1,2,1,2,16.9192757,8.941153617
1,1,1,2,7.5024134,15.11509404
1,2,1,2,17.6886558,8.215583765
1,2,1,2,15.9278728,9.971379503
1,2,1,2,18.4237028,7.577456883
1,1,1,2,6.4557743,16.9594322
1,1,1,2,12.3153236,8.901980037
1,2,1,2,10.7765548,17.57300504
1,1,1,2,8.5711104,13.43868086
1,2,1,1,12.9339348,13.86062546
1,2,1,1,15.4242234,10.53939745
1,1,1,1,6.1316524,17.57500215
1,1,1,1,6.2717436,17.30624689
1,2,1,1,13.6732575,12.77802148
1,1,1,1,6.5194703,16.84102024
1,2,1,1,12.2319921,14.9732581
1,1,1,1,5.9841101,17.86256555
1,2,1,1,10.08062,18.97109961
1,1,1,1,8.7625728,13.15861025
1,1,1,1,6.5528885,16.77922626
1,2,1,1,17.0000652,8.862046996
1,2,1,1,15.915931,9.984486494
1,1,1,1,10.6562849,10.68422105
1,2,1,1,14.3520034,11.85873319
1,2,1,1,12.4638343,14.59622852
1,2,1,1,16.2528445,9.6212294
1,1,1,1,11.2868991,9.968203957
1,1,1,1,8.9126573,12.94315428
1,2,1,1,14.8923028,11.17446919
1,1,1,1,11.2093612,10.05358806
1,2,1,1,14.9202766,11.14013688
1,2,2,2,18.3279176,7.657717875
1,1,2,2,15.5677475,6.224587027
1,1,2,2,8.3222393,13.81165776
1,2,2,2,16.2639211,9.609513783
1,1,2,2,17.8823231,4.825448979
1,2,2,2,18.6971398,7.352935122
1,2,2,2,20.4765772,6.04578573
1,2,2,2,22.207864,4.997410648
1,1,2,2,18.6876041,4.416391116
1,1,2,2,19.4722117,4.051211763
1,1,2,2,16.0236096,5.920152851
1,2,2,2,22.7844893,4.690274572
1,2,2,2,20.1285044,6.281755401
1,1,2,1,10.6083442,10.74071287
1,2,2,1,15.3036885,10.68006813
1,2,2,1,12.255865,14.93398962
1,1,2,1,7.9357918,14.41143842
1,1,2,1,9.6159214,11.97963315
1,1,2,1,8.383961,13.71820268
1,2,2,1,12.776663,14.10249903
1,1,2,1,9.5940271,12.00851934
1,1,2,1,8.7762364,13.13884776
1,2,2,1,14.9606733,11.09074398
1,1,2,1,5.8403403,18.14730185
1,2,2,1,18.4800836,7.530607771
1,2,2,1,14.9995875,11.04337083
1,1,2,1,7.7598769,14.69302461
1,2,2,1,16.7116185,9.147740536
1,2,2,1,17.4560554,8.428500283
1,1,2,1,10.4075421,10.98059576
1,1,2,1,10.1845951,11.25321497
1,1,1,2,13.5213748,7.795979063
1,1,1,2,11.3445483,9.905191474
1,2,1,2,22.1359841,5.037080744
1,1,1,2,16.8722805,5.392496601
1,2,1,2,24.1211257,4.048964303
1,1,1,2,14.0399287,7.363734191
1,1,1,2,17.9230582,4.803875183
1,2,1,2,8.1917206,23.3523047
1,2,1,2,20.1597317,6.26021457
1,1,1,2,19.1517541,4.196565166
1,2,1,2,19.6082029,6.651767633
1,1,1,2,19.4236768,4.072898369
1,1,1,2,17.7592105,4.89124156
1,2,1,1,13.6081988,12.86979483
1,1,1,1,10.7524533,10.57179347
1,2,1,1,14.728024,11.37823486
1,2,1,1,14.2159462,12.03754922
1,2,1,1,14.9199149,11.14058012
1,2,1,1,15.7998429,10.11280284
1,2,1,1,15.7561949,10.16147398
1,1,1,1,10.8079888,10.50740825
1,1,1,1,6.8394908,16.25849166
1,2,1,1,15.9039829,9.997617642
1,1,1,1,11.3743901,9.872730021
1,1,1,1,7.2040266,15.61944165
1,1,1,1,8.6156185,13.37304734
1,1,1,1,7.9134516,14.44689696
1,2,1,1,15.9574061,9.939038412
1,1,1,1,7.2235755,15.58589002
1,1,1,1,6.8502386,16.23928129
1,2,1,1,11.301306,16.58736545
1,2,1,1,13.9842193,12.34832992
1,1,1,1,11.0719688,10.20668355
1,2,1,1,16.9524436,8.908591532
1,1,2,2,13.4484616,7.858757759
1,2,2,2,19.0240962,7.093184304
1,2,2,2,16.9279222,8.932653595
1,1,2,2,14.0880412,7.324865493
1,2,2,2,21.1149627,5.635799682
1,1,2,2,16.5119623,5.61052036
1,1,2,2,14.1920446,7.241543817
1,2,2,2,17.1119091,8.753686683
1,2,2,2,10.5908563,17.93565722
1,2,2,2,12.3679794,14.75094596
1,1,2,2,12.6393319,8.590292744
1,2,2,2,16.1278356,9.754444544
1,1,2,2,17.0401406,5.293839881
1,1,2,2,14.6649293,6.874487539
1,1,2,2,10.623996,10.72223652
1,2,2,1,13.4673251,13.07077977
1,1,2,1,9.5598234,12.05378538
1,2,2,1,16.4047759,9.461771227
1,2,2,1,15.4876679,10.46610017
1,2,2,1,14.8400501,11.23888271
1,1,2,1,7.5040632,15.11235123
1,1,2,1,8.2166423,13.9730248
1,2,2,1,17.5448656,8.346562119
1,2,2,1,16.8636157,8.996064652
1,2,2,1,13.5276191,12.98437676
1,1,2,1,10.3383548,11.06448353
