sub,Bad_RichSelf,Bad_PoorSelf,Good_RichSelf,Good_PoorSelf,Bad_RichOther,Bad_PoorOther,Good_RichOther,Good_PoorOther
1,4.762102793,3.617827673,5.793597364,5.044819505,6.433877279,7.819374415,5.65788681,6.793289584
2,1.899483225,2.688492232,2.864631587,3.557805876,1.452034461,1.686125092,2.793598209,3.184256026
3,5.909948022,6.504855765,4.491583253,4.721720128,4.971178962,7.593916183,4.618969131,6.147495398
4,-0.206059323,-0.93850996,-2.273037238,-3.31554849,0.411939376,0.12704208,-1.88558249,-3.539838965
5,1.403496489,3.250463025,2.466004353,2.249934537,-0.401643443,1.381415579,0.196439367,0.748719486
6,7.993703813,10.83004022,8.315623592,10.52718938,6.803877127,10.12769568,6.580493614,10.55563041
7,2.847023393,2.536885919,0.852161006,0.890310325,2.801229791,3.256827067,0.655267743,0.659595236
8,4.012738228,4.508725491,9.845264018,9.144480642,4.51753883,3.466211645,6.995059552,9.810786995
9,4.419732349,3.799021529,4.367484689,5.254830175,6.74737062,5.354170074,5.16663014,4.907377296
10,5.415630559,7.094249208,6.095595678,6.926648328,1.891801398,2.642067355,-0.330664975,1.318424137
11,1.990255929,1.059398278,-0.467517729,0.018199439,2.203194747,1.095893636,-0.049807901,-0.731303728
12,1.670435808,2.234345728,0.37126402,0.894373658,1.172507796,0.220707232,0.152107215,-2.562949018
13,4.578187705,4.691940819,7.306034505,7.197223628,5.476267455,6.253280959,3.948267301,6.713179926
14,3.636946239,5.143674057,2.427471843,4.512594102,5.32294345,5.460471598,2.020710803,1.536934765
15,11.27541415,10.27624956,11.13792159,10.59368143,13.19240933,11.33603911,11.89194516,9.936135514
16,-0.117998111,1.339117728,2.439373878,2.796590887,0.909490835,-0.494920132,-0.125429136,-2.119567239
17,3.052419542,1.649673076,2.62178544,2.351057289,3.273078604,1.080871629,-5.085807319,-6.783096705
18,3.077601125,4.148599074,3.669080029,3.743094264,4.017111968,4.85164458,3.969024725,3.674671122
19,4.879051739,11.65765543,7.165768519,11.63067917,4.804689902,11.84363997,6.210303382,14.40633516
20,-0.114892728,-1.093597677,-0.128257679,-2.69363315,-0.428941127,-2.272460558,-2.340183171,-2.734321125
21,3.627528207,1.272939439,0.078807014,-1.48564615,1.179603391,-1.946915701,-2.02508865,-4.72614755
22,2.472774741,3.869133377,0.371275631,3.146223725,3.550958948,4.50424133,1.971236387,0.988598424
23,8.700219553,13.1706017,10.11191804,12.70767558,10.86948838,13.64144616,11.27626523,10.91458291
24,3.994019939,4.748106273,6.689946465,8.992600466,2.598827547,3.861530021,2.8414148,5.160314204
25,12.6161597,11.73882389,7.692514114,8.069845627,12.36669006,12.56620806,10.03362334,10.69501803
26,6.1419098,4.157170123,6.85443065,4.903037607,5.916593031,4.537529117,6.170686732,6.751305999
27,6.366954586,7.103370675,6.297459994,8.160742883,6.409996559,6.334522039,5.12860883,2.277680075
28,2.376775019,5.350775241,2.301064542,6.157086219,4.483476285,4.89407241,2.536478442,5.010911875
29,0.040269239,-4.297421932,-1.09537859,-4.879158754,-0.560928809,-3.567609206,-2.399025415,-3.998342611
